;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
44;2703;3006;18944;8;18;0;387;1.7058490031182085;2601;0;0;0;0;34;7;1;1;2;0;0;0;0;0;3345;2112;1088;768;311;179;67;23;44;14;2601;0;0;0;0;34;7;1;1;2;0;0;0;0;0;3345;2112;1088;768;311;179;67;23;44;159;7051;1836;1150;7976;663;5814;2;439;364;0.034997888513513514;3;2001-09-16 03:43:12;1000611792;5;11
45;2706;1914;11661;3;17;0;433;1.8065867566623997;2096;0;0;0;0;4;14;3;3;0;0;0;0;0;0;2545;1693;915;659;294;158;171;14;24;13;2096;0;0;0;0;4;14;3;3;0;0;0;0;0;0;2545;1693;915;659;294;158;171;14;24;180;5695;1361;924;2896;292;4156;15;387;353;0.025040734070834406;3;2001-09-16 03:48:12;1000612092;3;11
46;1512;1819;6772;4;17;0;290;1.7509702457956016;1693;0;0;0;0;25;9;7;0;6;0;0;0;0;0;1761;1222;531;445;283;148;23;10;21;14;1693;0;0;0;0;25;9;7;0;6;0;0;0;0;0;1761;1222;531;445;283;148;23;10;21;270;3727;974;923;561;65;2517;2;208;221;0.009598346131128175;2;2001-09-16 03:53:12;1000612392;4;12
47;1490;900;15737;5;18;0;750;1.357567229518449;1854;0;0;0;0;6;1;0;0;3;0;0;0;0;0;2375;1155;502;255;142;86;9;2;6;14;1854;0;0;0;0;6;1;0;0;3;0;0;0;0;0;2375;1155;502;255;142;86;9;2;6;136;4260;890;360;9317;326;6015;0;363;209;0.020708931520772456;3;2001-09-16 03:58:12;1000612692;5;11
48;1072;1738;17603;4;17;0;621;1.6332007952286283;2168;0;0;0;0;3;3;3;0;0;0;0;0;0;0;1074;1425;444;392;341;117;25;16;25;12;2168;0;0;0;0;3;3;3;0;0;0;0;0;0;0;1074;1425;444;392;341;117;25;16;25;281;3233;1068;833;11536;0;6459;10;674;229;0.0;0;2001-09-16 04:03:12;1000612992;4;10
49;2422;1676;23665;3;15;0;747;1.2175344721136037;3831;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3002;1376;653;381;336;74;56;5;1;10;3831;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3002;1376;653;381;336;74;56;5;1;342;5129;2385;1115;13739;0;7312;28;802;301;0.0;0;2001-09-16 04:08:12;1000613292;3;10
50;1516;1065;17828;3;17;0;1195;1.4267830670400263;2393;0;0;0;0;12;2;0;4;0;0;0;0;0;0;1305;1126;530;361;261;20;27;7;23;13;2393;0;0;0;0;12;2;0;4;0;0;0;0;0;0;1305;1126;530;361;261;20;27;7;23;166;3141;915;654;11718;0;6736;19;622;174;0.0;0;2001-09-16 04:13:12;1000613592;3;12
51;1428;1508;45083;5;16;0;3350;0.8721023181454837;6002;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1638;1213;537;263;243;49;26;28;4;10;6002;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1638;1213;537;263;243;49;26;28;4;556;3428;1839;835;34976;0;14285;19;1260;160;0.0;0;2001-09-16 04:18:12;1000613892;4;11
52;1388;1189;19847;2;16;0;1051;1.2465966549980552;3022;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2143;1269;662;343;178;30;42;9;10;10;3022;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2143;1269;662;343;178;30;42;9;10;228;4221;1563;650;12106;0;7475;1;549;173;0.0;0;2001-09-16 04:23:12;1000614192;2;10
53;1804;1335;14606;6;15;0;1941;1.0961234177215189;4423;0;0;0;0;5;0;1;0;0;0;0;0;0;0;2786;1573;668;342;237;38;9;28;2;12;4423;0;0;0;0;5;0;1;0;0;0;0;0;0;0;2786;1573;668;342;237;38;9;28;2;312;5080;1956;823;4469;0;4269;1;371;144;0.0;0;2001-09-16 04:28:12;1000614492;4;9
