,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_21_,edit_distance_dict_22_,edit_distance_dict_23_,edit_distance_dict_24_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_21_,edit_distance_unique_dict_22_,edit_distance_unique_dict_23_,edit_distance_unique_dict_24_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
43,117,235,799,5,16,41,1.8543956044,231,0,0,0,0,1,0,0,0,0,0,153,0,0,0,0,0,73,154,55,35,10,12,0,4,14,231,0,0,0,0,1,0,0,0,0,0,153,0,0,0,0,0,73,154,55,35,10,12,0,4,84,367,83,153,64,6,280,0,52,1,0.0075093867,2,2001-07-14 03:44:11,5,10,0
44,117,75,464,17,17,12,2.0550964187,128,10,1,4,1,2,0,0,0,0,0,50,0,0,0,0,0,75,35,48,5,4,0,0,0,14,128,10,1,4,1,2,0,0,0,0,0,50,0,0,0,0,0,75,35,48,5,4,0,0,0,77,207,35,32,97,4,202,0,29,7,0.0086206897,2,2001-07-14 03:49:11,9,9,0
45,720,189,1391,5,18,146,1.8927469136,266,1,5,4,1,0,0,0,1,0,0,416,0,0,1,0,0,311,133,78,10,4,58,4,3,22,266,1,5,4,1,0,0,0,1,0,0,416,0,0,1,0,0,311,133,78,10,4,58,4,3,73,976,36,65,83,7,279,0,44,5,0.0050323508,3,2001-07-14 03:54:11,5,9,0
46,184,216,835,5,18,24,2.1645962733,211,11,0,4,2,14,0,0,0,0,0,112,0,0,0,0,0,117,90,45,25,6,2,2,3,14,211,11,0,4,2,14,0,0,0,0,0,112,0,0,0,0,0,117,90,45,25,6,2,2,3,72,329,84,135,172,12,278,0,40,21,0.0143712575,2,2001-07-14 03:59:11,5,10,0
47,876,569,2632,5,19,21,1.8611111111,230,0,2,0,0,0,0,0,2,0,0,548,0,0,0,0,0,442,562,25,9,14,2,0,0,17,230,0,2,0,0,0,0,0,2,0,0,548,0,0,0,0,0,442,562,25,9,14,2,0,0,160,1467,35,153,585,47,426,0,154,4,0.0178571429,2,2001-07-14 04:04:11,5,11,0
48,1391,1290,3229,3,24,14,2.1934513866,225,0,2,2,0,0,0,0,1,0,0,955,0,0,1,0,0,765,435,398,175,18,13,3,0,22,225,0,2,2,0,0,0,0,1,0,0,955,0,0,1,0,0,765,435,398,175,18,13,3,0,188,1953,18,820,224,5,418,0,205,8,0.001548467,1,2001-07-14 04:09:11,3,10,0
49,325,226,851,6,12,28,2.1365853659,116,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,215,104,93,32,25,6,7,1,9,116,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,215,104,93,32,25,6,7,1,38,599,41,114,14,3,244,0,63,4,0.0035252644,1,2001-07-14 04:14:11,4,9,0
50,167,336,905,3,20,35,2.1243589744,203,2,1,14,0,8,0,0,0,0,0,198,0,0,1,0,0,125,116,72,16,10,12,2,0,22,203,2,1,14,0,8,0,0,0,0,0,198,0,0,1,0,0,125,116,72,16,10,12,2,0,47,461,88,149,113,7,324,0,30,27,0.0077348066,2,2001-07-14 04:19:11,3,10,0
51,121,153,458,2,13,18,1.9590792839,86,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,65,55,51,11,7,2,6,0,8,86,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,65,55,51,11,7,2,6,0,44,213,16,100,34,9,221,0,35,5,0.019650655,2,2001-07-14 04:24:11,2,9,0
52,121,116,539,2,22,107,1.5877192982,177,0,2,3,0,1,0,0,0,0,0,101,0,0,0,0,0,70,48,25,13,11,4,1,0,14,177,0,2,3,0,1,0,0,0,0,0,101,0,0,0,0,0,70,48,25,13,11,4,1,0,45,241,19,44,80,10,256,0,47,7,0.0185528757,2,2001-07-14 04:29:11,2,10,0
