,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
46,361,421,1608,3,14,144,1.9657444005,448,14,3,0,0,0,0,0,0,0,0,201,465,120,95,122,27,16,7,0,11,448,14,3,0,0,0,0,0,0,0,0,201,465,120,95,122,27,16,7,0,143,781,140,310,80,33,585,0,122,50,0.0205223881,2,2001-07-20 04:00:28,3,11,0
47,296,287,1322,4,16,73,1.813111546,164,0,0,0,0,0,0,0,0,0,0,370,239,106,59,62,17,1,4,0,8,164,0,0,0,0,0,0,0,0,0,0,370,239,106,59,62,17,1,4,0,39,700,45,165,292,34,577,0,79,25,0.0257186082,2,2001-07-20 04:05:28,3,11,0
48,317,278,1343,4,16,109,1.947147651,324,6,6,2,2,0,0,0,0,0,0,295,244,114,68,69,40,15,5,2,13,324,6,6,2,2,0,0,0,0,0,0,295,244,114,68,69,40,15,5,2,149,728,51,155,142,22,615,0,75,25,0.016381236,2,2001-07-20 04:10:28,4,10,0
49,272,305,1146,4,15,81,1.8598790323,232,6,0,2,0,1,0,0,0,0,0,254,243,110,76,45,17,2,4,0,14,232,6,0,2,0,1,0,0,0,0,0,254,243,110,76,45,17,2,4,0,59,654,70,128,142,28,486,1,51,10,0.0244328098,2,2001-07-20 04:15:28,4,11,0
50,289,278,1315,4,22,148,1.6990779547,332,2,6,8,0,0,0,0,0,2,2,450,134,119,54,49,15,15,5,0,19,332,2,6,8,0,0,0,0,0,2,2,450,134,119,54,49,15,15,5,0,120,780,51,94,109,21,516,0,87,33,0.0159211524,2,2001-07-20 04:20:28,4,11,0
51,1162,991,4026,11,13,74,1.7587900724,1327,0,2,0,0,0,0,0,0,0,0,310,852,939,288,115,23,11,1,0,11,1327,0,2,0,0,0,0,0,0,0,0,310,852,939,288,115,23,11,1,0,1181,2331,45,237,140,23,844,2,84,23,0.005707196,2,2001-07-20 04:25:28,7,9,0
52,311,466,1343,9,19,147,1.903091061,247,0,1,0,2,0,0,1,0,0,0,318,395,73,38,46,41,15,15,5,16,247,0,1,0,2,0,0,1,0,0,0,318,395,73,38,46,41,15,15,5,42,835,50,123,99,14,528,0,70,23,0.0104244229,2,2001-07-20 04:30:28,5,11,0
53,404,303,1296,5,18,102,1.9537366548,236,0,0,0,0,1,0,0,0,0,0,287,218,183,114,66,11,6,2,0,14,236,0,0,0,0,1,0,0,0,0,0,287,218,183,114,66,11,6,2,0,68,790,60,104,135,22,480,0,68,40,0.0169753086,2,2001-07-20 04:35:28,4,11,0
54,290,407,1265,5,14,56,2.1646341463,206,2,0,0,0,1,0,1,0,0,0,338,237,136,61,73,53,32,8,0,16,206,2,0,0,0,1,0,1,0,0,0,338,237,136,61,73,53,32,8,0,55,772,68,197,77,14,564,0,60,23,0.0110671937,1,2001-07-20 04:40:28,5,11,0
55,313,221,1013,5,16,47,2.0440180587,162,2,1,0,0,0,0,0,0,0,0,292,156,78,101,58,10,22,2,2,11,162,2,1,0,0,0,0,0,0,0,0,292,156,78,101,58,10,22,2,2,55,627,53,104,105,24,526,0,57,19,0.0236920039,2,2001-07-20 04:45:28,5,14,0
