,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
209,1279,14,94,888,314,502,0,2001-09-20 17:35:10,1001007310,50,269
210,1369,15,82,975,309,494,0,2001-09-20 17:40:10,1001007610,36,270
211,1692,16,86,1176,331,448,0,2001-09-20 17:45:10,1001007910,42,354
212,2394,19,220,1928,903,570,0,2001-09-20 17:50:10,1001008210,20,500
213,1679,18,92,1293,357,573,0,2001-09-20 17:55:10,1001008510,52,540
214,1370,15,126,682,460,466,0,2001-09-20 18:00:10,1001008810,18,372
215,1394,15,154,854,342,475,1,2001-09-20 18:05:10,1001009110,45,388
216,1096,16,114,630,342,377,0,2001-09-20 18:10:10,1001009410,23,114
217,1193,18,74,914,286,493,0,2001-09-20 18:15:10,1001009710,41,173
218,841,17,55,627,304,450,0,2001-09-20 18:20:10,1001010010,16,98
219,834,18,47,637,335,318,0,2001-09-20 18:25:10,1001010310,40,203
220,892,15,43,634,263,368,0,2001-09-20 18:30:10,1001010610,24,136
221,1036,15,52,546,300,419,0,2001-09-20 18:35:10,1001010910,14,107
222,1324,18,69,1037,314,437,0,2001-09-20 18:40:10,1001011210,38,261
223,1042,15,35,803,344,395,0,2001-09-20 18:45:10,1001011510,16,135
224,1494,16,145,932,488,595,1,2001-09-20 18:50:10,1001011810,54,563
225,3218,16,122,2251,883,879,0,2001-09-20 18:55:10,1001012110,58,656
226,2130,16,361,1491,808,615,0,2001-09-20 19:00:10,1001012410,42,469
227,1354,17,86,960,488,503,0,2001-09-20 19:05:10,1001012710,19,206
228,1382,11,56,1133,745,484,1,2001-09-20 19:10:10,1001013010,39,329
229,1663,14,111,1040,470,644,0,2001-09-20 19:15:10,1001013310,123,549
230,1267,16,115,883,367,458,0,2001-09-20 19:20:10,1001013610,22,195
231,1641,15,71,1121,342,347,0,2001-09-20 19:25:10,1001013910,74,576
232,1199,20,76,893,284,370,0,2001-09-20 19:30:10,1001014210,26,426
233,1376,16,109,818,495,509,0,2001-09-20 19:35:10,1001014510,40,278
234,1082,15,140,687,349,321,0,2001-09-20 19:40:10,1001014810,31,198
235,2063,16,95,1241,442,556,0,2001-09-20 19:45:10,1001015110,32,403
236,3486,18,68,1792,777,534,0,2001-09-20 19:50:10,1001015410,52,823
237,4522,19,181,3435,817,590,0,2001-09-20 19:55:10,1001015710,28,284
238,1046,18,27,661,273,382,0,2001-09-20 20:00:10,1001016010,28,393
239,1449,15,172,736,459,470,0,2001-09-20 20:05:10,1001016310,11,295
240,1540,15,180,963,336,538,0,2001-09-20 20:10:10,1001016610,21,228
241,1239,13,85,878,394,442,0,2001-09-20 20:15:10,1001016910,70,261
242,2222,15,246,1515,295,526,0,2001-09-20 20:20:10,1001017210,72,481
243,2553,18,88,1461,638,649,0,2001-09-20 20:25:10,1001017510,24,573
244,1101,15,55,714,294,395,0,2001-09-20 20:30:10,1001017810,24,338
245,1303,14,223,833,362,460,0,2001-09-20 20:35:10,1001018110,12,155
246,1808,13,88,1152,754,467,0,2001-09-20 20:40:10,1001018410,23,252
247,1836,14,122,1397,648,598,0,2001-09-20 20:45:10,1001018710,11,153
248,1531,15,143,1026,378,448,0,2001-09-20 20:50:10,1001019010,16,263
249,1241,12,181,647,409,351,0,2001-09-20 20:55:10,1001019310,23,108
250,1384,14,175,841,517,566,2,2001-09-20 21:00:10,1001019610,40,182
251,1522,15,133,1092,556,600,2,2001-09-20 21:05:10,1001019910,56,291
252,2090,15,142,1550,617,608,0,2001-09-20 21:10:10,1001020210,38,229
253,1047,15,128,665,280,452,0,2001-09-20 21:15:10,1001020510,17,219
254,1268,12,65,825,361,404,0,2001-09-20 21:20:10,1001020810,16,151
255,1911,15,69,1523,608,748,3,2001-09-20 21:25:10,1001021110,16,331
256,2012,15,94,1356,593,576,3,2001-09-20 21:30:10,1001021410,34,430
257,1272,13,45,872,416,304,0,2001-09-20 21:35:10,1001021710,13,153
258,1110,15,103,597,287,345,0,2001-09-20 21:40:10,1001022010,48,186
259,589,13,22,473,184,265,0,2001-09-20 21:45:10,1001022310,36,126
260,2412,16,237,1760,846,670,2,2001-09-20 21:50:10,1001022610,31,113
261,1604,15,162,1135,419,433,0,2001-09-20 21:55:10,1001022910,9,127
262,637,21,45,454,164,349,0,2001-09-20 22:00:10,1001023210,10,70
263,815,15,62,553,228,362,0,2001-09-20 22:05:10,1001023510,23,127
264,2484,19,52,1336,1512,579,2,2001-09-20 22:10:10,1001023810,17,187
265,3164,12,252,2745,1733,720,2,2001-09-20 22:15:10,1001024110,2,54
266,1896,14,110,1589,792,376,0,2001-09-20 22:20:10,1001024410,7,84
267,783,13,64,594,241,329,0,2001-09-20 22:25:10,1001024710,12,106
268,1323,12,87,958,520,427,2,2001-09-20 22:30:10,1001025010,63,243
269,1195,15,62,927,463,418,2,2001-09-20 22:35:10,1001025310,19,197
270,1214,19,223,868,473,390,2,2001-09-20 22:40:10,1001025610,13,94
271,901,15,70,625,414,344,1,2001-09-20 22:45:10,1001025910,41,191
272,1115,19,58,733,536,390,1,2001-09-20 22:50:10,1001026210,36,131
273,1383,15,46,967,267,592,0,2001-09-20 22:55:10,1001026510,34,383
274,1693,15,133,1022,782,564,2,2001-09-20 23:00:10,1001026810,8,282
275,776,15,53,593,235,376,0,2001-09-20 23:05:10,1001027110,32,176
276,1082,18,19,932,511,388,0,2001-09-20 23:10:10,1001027410,42,262
277,1058,14,54,736,324,505,1,2001-09-20 23:15:10,1001027710,10,159
278,1282,14,83,882,493,477,0,2001-09-20 23:20:10,1001028010,75,260
279,1390,16,94,876,435,432,0,2001-09-20 23:25:10,1001028310,10,107
280,1169,18,56,996,355,337,0,2001-09-20 23:30:10,1001028610,10,342
281,1101,12,67,759,237,340,0,2001-09-20 23:35:10,1001028910,57,409
282,519,14,54,311,150,276,0,2001-09-20 23:40:10,1001029210,9,75
283,1018,13,57,676,342,208,0,2001-09-20 23:45:10,1001029510,6,117
284,1474,19,117,1159,584,310,0,2001-09-20 23:50:10,1001029810,16,653
285,2273,19,102,1398,595,384,1,2001-09-20 23:55:10,1001030110,8,221
286,1426,14,148,791,327,363,11,2001-09-21 00:00:10,1001030410,6,382
287,1067,13,54,711,349,360,0,2001-09-21 00:05:10,1001030710,22,288
288,224,15,67,134,124,37,0,2001-09-21 00:10:10,1001031010,0,64
