,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
237,777,14,44,431.0,247,336,0,2001-07-17 19:54:52,995399692,10,167
238,1439,13,33,1306.0,590,406,4,2001-07-17 19:59:52,995399992,9,106
239,883,13,54,438.0,189,256,0,2001-07-17 20:04:52,995400292,77,344
240,2124,12,38,1925.0,755,496,4,2001-07-17 20:09:52,995400592,5,103
241,1776,18,71,1307.0,335,366,0,2001-07-17 20:14:52,995400892,117,413
242,1004,14,13,863.0,265,258,0,2001-07-17 20:19:52,995401192,20,254
243,633,13,34,334.0,151,243,0,2001-07-17 20:24:52,995401492,36,206
244,912,13,25,672.0,359,235,0,2001-07-17 20:29:52,995401792,23,119
245,427,15,27,262.0,136,235,0,2001-07-17 20:34:52,995402092,6,80
246,586,14,25,423.0,290,242,0,2001-07-17 20:39:52,995402392,14,101
247,951,20,40,780.0,269,325,0,2001-07-17 20:44:52,995402692,92,253
248,1447,17,21,1137.0,369,349,0,2001-07-17 20:49:52,995402992,27,193
249,1310,15,62,967.0,383,432,0,2001-07-17 20:54:52,995403292,37,329
250,2000,20,141,1504.0,451,487,0,2001-07-17 20:59:52,995403592,81,316
251,1427,14,160,966.0,389,351,0,2001-07-17 21:04:52,995403892,11,169
252,665,16,38,483.0,232,270,0,2001-07-17 21:09:52,995404192,19,238
253,1243,20,19,867.0,321,325,0,2001-07-17 21:14:52,995404492,118,423
254,1127,21,34,824.0,306,370,0,2001-07-17 21:19:52,995404792,98,446
255,659,13,79,428.0,186,223,0,2001-07-17 21:24:52,995405092,23,204
256,756,19,72,465.0,243,330,0,2001-07-17 21:29:52,995405392,25,130
257,797,14,39,402.0,241,256,0,2001-07-17 21:34:52,995405692,13,217
258,784,14,98,367.0,256,266,0,2001-07-17 21:39:52,995405992,11,150
259,735,20,87,442.0,263,261,0,2001-07-17 21:44:52,995406292,19,116
260,628,19,60,392.0,217,237,0,2001-07-17 21:49:52,995406592,4,77
261,941,17,87,562.0,269,303,0,2001-07-17 21:54:52,995406892,22,159
262,1070,15,21,940.0,217,307,0,2001-07-17 21:59:52,995407192,6,110
263,771,17,29,500.0,216,316,0,2001-07-17 22:04:52,995407492,24,218
264,1465,17,57,1144.0,540,398,0,2001-07-17 22:09:52,995407792,18,269
265,997,21,71,659.0,256,331,0,2001-07-17 22:14:52,995408092,66,305
266,707,12,77,443.0,230,247,0,2001-07-17 22:19:52,995408392,88,267
267,1120,24,129,644.0,294,385,0,2001-07-17 22:24:52,995408692,22,199
268,1307,23,59,857.0,290,443,0,2001-07-17 22:29:52,995408992,44,235
269,17433,17,249,14273.0,11649,4368,9,2001-07-17 22:34:52,995409292,148,1132
270,11696,14,390,9958.0,8818,3318,6,2001-07-17 22:39:52,995409592,20,234
271,9741,17,506,7451.0,4038,3087,4,2001-07-17 22:44:52,995409892,147,1001
272,8309,14,63,7440.0,4020,1990,0,2001-07-17 22:49:52,995410192,55,334
273,415,16,55,249.0,151,241,0,2001-07-17 22:54:52,995410492,7,116
274,510,15,60,308.0,127,264,0,2001-07-17 22:59:52,995410792,27,175
275,503,20,63,273.0,165,276,0,2001-07-17 23:04:52,995411092,12,110
276,453,14,17,288.0,106,189,0,2001-07-17 23:09:52,995411392,6,125
277,620,16,67,391.0,196,246,0,2001-07-17 23:14:52,995411692,17,148
278,424,15,21,265.0,130,218,0,2001-07-17 23:19:52,995411992,11,113
279,349,14,20,238.0,116,195,0,2001-07-17 23:24:52,995412292,7,154
280,387,14,22,194.0,101,204,0,2001-07-17 23:29:52,995412592,6,120
281,650,15,9,372.0,281,224,0,2001-07-17 23:34:52,995412892,8,153
282,306,16,9,199.0,97,196,0,2001-07-17 23:39:52,995413192,35,157
283,645,14,22,437.0,173,270,0,2001-07-17 23:44:52,995413492,17,140
284,328,10,15,210.0,114,154,6,2001-07-17 23:49:52,995413792,14,93
285,330,19,13,232.0,96,214,5,2001-07-17 23:54:52,995414092,6,81
286,637,14,86,379.0,208,355,0,2001-07-17 23:59:52,995414392,14,165
287,2027,15,241,975.0,467,307,0,2001-07-18 00:04:52,995414692,18,997
288,83,14,4,65.0,65,39,0,2001-07-18 00:09:52,995414992,0,11
289,766,15,19,326.0,191,328,0,2001-07-18 00:10:01,995415001,14,128
290,2168,15,25,991.0,485,337,0,2001-07-18 00:15:01,995415301,35,131
291,2818,15,276,2056.0,609,364,0,2001-07-18 00:20:01,995415601,37,271
292,1561,13,244,1055.0,560,318,2,2001-07-18 00:25:01,995415901,16,1187
293,537,15,20,288.0,197,281,0,2001-07-18 00:30:01,995416201,17,125
294,1700,16,6,723.0,455,298,0,2001-07-18 00:35:01,995416501,19,107
295,516,13,21,259.0,158,227,1,2001-07-18 00:40:01,995416801,33,160
296,948,13,15,694.0,510,250,0,2001-07-18 00:45:01,995417101,13,153
297,2220,14,18,2035.0,490,250,0,2001-07-18 00:50:01,995417401,5,961
298,455,14,19,225.0,112,256,0,2001-07-18 00:55:01,995417701,9,85
299,613,17,10,320.0,178,318,0,2001-07-18 01:00:01,995418001,16,138
300,3009,14,84,954.0,927,578,0,2001-07-18 01:05:01,995418301,113,343
301,628,11,36,272.0,166,308,0,2001-07-18 01:10:01,995418601,17,159
302,474,15,24,182.0,184,305,0,2001-07-18 01:15:01,995418901,97,247
303,661,14,71,319.0,199,263,0,2001-07-18 01:20:01,995419201,16,142
304,321,15,40,200.0,77,189,0,2001-07-18 01:25:01,995419501,7,58
305,278,11,17,151.0,92,183,0,2001-07-18 01:30:01,995419801,13,75
306,599,12,24,250.0,264,222,0,2001-07-18 01:35:01,995420101,28,197
307,377,11,7,181.0,124,205,0,2001-07-18 01:40:01,995420401,10,110
308,637,14,23,249.0,200,240,0,2001-07-18 01:45:01,995420701,9,205
309,920,13,57,542.0,287,312,0,2001-07-18 01:50:01,995421001,30,157
310,1202,15,13,657.0,475,486,0,2001-07-18 01:55:01,995421301,44,287
311,929,14,79,378.0,412,287,0,2001-07-18 02:00:01,995421601,15,104
312,600,15,39,342.0,128,282,0,2001-07-18 02:05:01,995421901,9,102
313,1237,14,34,656.0,408,586,0,2001-07-18 02:10:01,995422201,14,283
314,780,14,15,525.0,219,262,0,2001-07-18 02:15:01,995422501,29,188
315,347,14,9,205.0,127,197,0,2001-07-18 02:20:01,995422801,12,85
316,979,15,100,445.0,220,294,0,2001-07-18 02:25:01,995423101,82,278
317,1962,15,125,1183.0,292,543,0,2001-07-18 02:30:01,995423401,74,468
318,1073,14,67,674.0,340,444,0,2001-07-18 02:35:01,995423701,17,245
319,1480,17,26,962.0,404,368,1,2001-07-18 02:40:01,995424001,15,223
320,1006,16,48,656.0,346,323,0,2001-07-18 02:45:01,995424301,8,107
321,1130,17,12,665.0,375,355,0,2001-07-18 02:50:01,995424601,11,148
322,651,16,8,414.0,178,245,0,2001-07-18 02:55:01,995424901,53,213
323,1520,13,13,688.0,532,395,0,2001-07-18 03:00:01,995425201,27,690
324,1023,14,35,455.0,413,313,0,2001-07-18 03:05:01,995425501,0,201
325,396,12,25,255.0,167,225,0,2001-07-18 03:10:01,995425801,22,110
326,761,13,30,241.0,279,345,0,2001-07-18 03:15:01,995426101,135,405
327,726,13,34,427.0,354,296,0,2001-07-18 03:20:01,995426401,14,191
328,891,14,72,391.0,374,352,0,2001-07-18 03:25:01,995426701,13,249
329,1513,15,54,992.0,340,432,0,2001-07-18 03:30:01,995427001,33,204
330,1026,12,34,558.0,302,342,0,2001-07-18 03:35:01,995427301,11,194
331,531,13,6,315.0,131,248,0,2001-07-18 03:40:01,995427601,4,159
332,448,13,86,213.0,214,205,0,2001-07-18 03:45:01,995427901,2,177
333,623,15,21,439.0,172,280,0,2001-07-18 03:50:01,995428201,10,85
334,866,13,177,560.0,196,260,0,2001-07-18 03:55:01,995428501,10,97
335,510,17,12,257.0,175,246,0,2001-07-18 04:00:01,995428801,14,145
336,567,13,29,378.0,172,252,0,2001-07-18 04:05:01,995429101,4,160
337,613,13,11,362.0,174,294,0,2001-07-18 04:10:01,995429401,9,121
338,431,15,24,237.0,121,259,0,2001-07-18 04:15:01,995429701,5,128
339,643,13,21,425.0,185,267,0,2001-07-18 04:20:01,995430001,3,138
340,1592,17,137,792.0,366,401,0,2001-07-18 04:25:01,995430301,14,287
341,1210,19,48,593.0,365,352,0,2001-07-18 04:30:01,995430601,40,323
